mode,scenario,comparator,independent_units,rounds_per_unit,difference_per_100,standard_error_per_100,contribution_to_aggregate_per_100,nominal_low,nominal_high,adjusted_low,adjusted_high
fresh,s17-6d-1p,basic,100000,1,-0.06849999999999999,0.07494504149770319,-0.006849999999999999,-0.21539228133549826,0.07839228133549826,-0.3103640188559616,0.17336401885596164
fresh,s17-6d-2p,basic,100000,1,-0.0585,0.06852928381449351,-0.00585,-0.1928173962764073,0.0758173962764073,-0.2796589674441926,0.16265896744419261
fresh,s17-6d-3p,basic,100000,1,-0.06849999999999999,0.06494417029227911,-0.006849999999999999,-0.19579057377286707,0.058790573772867075,-0.2780890230261326,0.14108902302613263
fresh,s17-6d-4p,basic,100000,1,-0.132,0.06452416131709064,-0.0132,-0.25846735618149763,-0.005532643818502353,-0.3402335623223345,0.07623356232233447
fresh,s17-6d-5p,basic,100000,1,0.0045000000000000005,0.06829931511709655,0.00045000000000000004,-0.12936665762950925,0.13836665762950925,-0.2159168082265584,0.2249168082265584
fresh,s17-6d-6p,basic,100000,1,-0.0485,0.06526307585603594,-0.00485,-0.17641562867783045,0.07941562867783043,-0.2591182009376308,0.1621182009376308
fresh,s17-6d-7p,basic,100000,1,0.008,0.06550223099576574,0.0008,-0.12038437275170086,0.13638437275170087,-0.20339000681123062,0.21939000681123064
fresh,h17-no-das-6to5,basic,100000,1,0.042499999999999996,0.06324375016726437,0.0042499999999999994,-0.08145775032783817,0.16645775032783816,-0.16160139586680644,0.24660139586680646
fresh,s17-2d-3p,basic,100000,1,0.07050000000000001,0.08916994903159976,0.007050000000000001,-0.10427310010193552,0.24527310010193554,-0.21727090255697484,0.35827090255697486
fresh,random-tablemates-7p,basic,100000,1,-0.005,0.0637968686567335,-0.0005,-0.13004186256719766,0.12004186256719765,-0.2108864300477621,0.2008864300477621
fresh,s17-6d-1p,baseline,100000,1,-0.0835,0.08511905033555826,-0.00835,-0.2503333386576942,0.0833333386576942,-0.3581977676433996,0.19119776764339957
fresh,s17-6d-2p,baseline,100000,1,-0.07050000000000001,0.07567534317778578,-0.007050000000000001,-0.21882367262846014,0.07782367262846013,-0.31472086189443604,0.173720861894436
fresh,s17-6d-3p,baseline,100000,1,-0.132,0.0743396329275995,-0.0132,-0.277705680538095,0.01370568053809501,-0.371910233163287,0.10791023316328699
fresh,s17-6d-4p,baseline,100000,1,-0.1305,0.07087757003311651,-0.01305,-0.2694200372649084,0.008420037264908364,-0.3592373999983681,0.09823739999836811
fresh,s17-6d-5p,baseline,100000,1,0.035500000000000004,0.07308755581771875,0.00355,-0.10775160940272874,0.17875160940272874,-0.20036950684355312,0.2713695068435531
fresh,s17-6d-6p,baseline,100000,1,0.094,0.07049795273349004,0.0094,-0.04417598735764047,0.23217598735764047,-0.13351229205419918,0.3215122920541992
